label,message
ham,Hi how are you
spam,Congratulations you have won a lottery claim now
ham,Are we meeting today
spam,Win cash prize now click here
ham,Please call me when you arrive
spam,Free entry in 2 lakh prize contest
ham,Let's go for lunch tomorrow
spam,You have been selected for a reward click link
ham,Can you send the notes
spam,Limited offer buy now
ham,Good morning have a nice day
spam,Claim your free gift voucher now
ham,Where are you now
spam,You won a free ticket call now
ham,Don't forget the meeting at 10
spam,Exclusive deal just for you click now
ham,See you soon
spam,Act now to claim your reward
ham,Thanks for your help
spam,You are selected for cash prize
